developer_name,num_games,avg_positive_pct,avg_price,total_reviews
"FromSoftware, Inc.",2,94.1,59.99,1378911
Valve,11,93.6,6.36,11987569
Facepunch Studios,2,92.0,14.99,2387491
Endnight Games Ltd,2,91.6,24.99,881337
Firaxis Games,2,91.4,44.99,554185
CD PROJEKT RED,2,90.3,54.99,1680270
Rockstar North,2,84.9,0.0,2165828
Bohemia Interactive,2,83.6,39.99,713516
Grinding Gear Games,2,79.7,15.0,404112
Wargaming Group Limited,2,77.8,0.0,294713
"CAPCOM Co., Ltd.",2,73.1,34.99,711805
MY.GAMES,2,65.3,0.0,85279
DICE,2,58.8,5.49,548062
